name,P_cont_nominal,P_disp_nominal,P_cont,P_disp,repeat,status,frequency_Hz,n_detections,n_free,L_um,w_um,d_eq_um,L_over_w,polydispersity,v_drop_mm_s
pc16k_pd2.4k_r2,16000.0,2400.0,15956.8,2363.1,2,ok,16.666666666666668,60,36,157.88039308972657,119.99999424006091,149.8424816880215,1.0525359539315104,0.07891286849630236,30.69413998159333
pc16k_pd2.7k_r0,16000.0,2700.0,15544.7,2714.0,0,ok,33.333333333333336,70,46,165.3985382290557,127.49999450534233,156.16178472721782,1.102656921527038,0.08017204349507902,31.857840399000082
pc16k_pd2.7k_r1,16000.0,2700.0,15818.1,2644.4,1,ok,33.333333333333336,67,44,161.6395020391792,127.49999450534233,154.43240664549634,1.0775966802611947,0.07546581962377408,32.111635313279606
pc16k_pd2.7k_r2,16000.0,2700.0,15666.2,2714.5,2,ok,33.333333333333336,70,46,165.39855278097093,127.49999450534233,155.70248386822436,1.1026570185398061,0.07940829044917265,31.992617181192458
pc16k_pd3k_r0,16000.0,3000.0,16114.8,3079.3,0,ok,33.333333333333336,83,55,172.91665426455438,127.49999450534233,158.77702285203495,1.1527776950970292,0.08728711478698126,34.37894534588847
pc16k_pd3k_r1,16000.0,3000.0,15995.5,3062.5,1,ok,33.333333333333336,82,56,172.91668336838484,123.74999437270162,159.00239844149198,1.1527778891225655,0.09554816621870198,34.338365285395604
pc16k_pd3k_r2,16000.0,3000.0,16448.7,3069.0,2,ok,33.333333333333336,82,54,165.3985818848014,123.74999437270162,157.3041697520884,1.1026572125653427,0.0884867432159949,35.24297823800449
pc16k_pd3.3k_r0,16000.0,3300.0,15243.1,3381.1,0,ok,50.0,89,61,187.95288633555174,127.49999450534233,166.2684985650065,1.2530192422370117,0.09812363448330369,34.31907112409905
pc16k_pd3.3k_r1,16000.0,3300.0,16108.7,3328.0,1,ok,33.333333333333336,87,58,180.4347848519683,123.74999437270162,162.34549139417837,1.2028985656797886,0.09118266536277643,35.66165821058198
pc16k_pd3.3k_r2,16000.0,3300.0,16118.8,3325.3,2,ok,33.333333333333336,87,58,180.4347848519683,123.74999437270162,162.34549139417837,1.2028985656797886,0.09172704586496949,35.693548555946876
pc16k_pd3.6k_r0,16000.0,3600.0,16102.2,3574.2,0,ok,50.0,92,62,187.95288633555174,123.74999437270162,166.05298519048134,1.2530192422370117,0.10479018179027387,37.14663762785286
pc16k_pd3.6k_r1,16000.0,3600.0,15391.5,3592.2,1,ok,50.0,93,62,195.4709878191352,127.49999450534233,169.0451715730122,1.3031399187942345,0.0965571865299722,35.9304765889717
pc16k_pd3.6k_r2,16000.0,3600.0,15742.8,3677.8,2,ok,50.0,94,64,195.47100237105042,123.74999437270162,169.15102331866854,1.3031400158070028,0.10667529705761307,37.14539979850437
