time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,core_bias_strict,asym_strict
0.3525,35269,0,5449.999822303653,6590.000120922923,5999.822391383314,1140.0002986192703,738.4615382761694,460.6046034140152,338,145.4204710672034,0.31571649520943235,129.5723336326236,0.2813092458742913,185.61179871418815,0.4029742589162764,0.22781619147205193,0.24264833556455948,-0.07960634159376156,-0.08877582798975292
0.4475,44769,0,2888.888935558498,4609.999945387244,3893.799017918107,1721.1110098287463,615.3846115921624,514.8536966758281,442,135.28892553894704,0.2627715920317655,154.12819590827812,0.2993630946100076,225.43657522860303,0.437865313358227,0.13335712461414018,0.17558248281429292,-0.04646524889148118,-0.20649977383223553
0.45,45019,0,3185.1851381361485,4729.999927803874,4021.5583377680678,1544.8147896677256,615.3846115921624,520.3836881118879,429,137.82447346102245,0.2648516404522441,155.9759394601335,0.2997325685323885,226.5832751907319,0.4354157910153674,0.13398184191248932,0.17778118610281032,-0.044686280589961436,-0.19953036173346164
0.4525,45269,0,3422.2222166135907,4789.999919012189,4135.687115888546,1367.7777023985982,615.3846115921624,514.5566625129244,390,134.9424560818974,0.2622499442974523,154.29827145464742,0.29986643395327106,225.3159349763796,0.43788362174927664,0.1368053914959776,0.1817206381770721,-0.04661865699126899,-0.20342441165364133
0.455,45519,0,3600.000054575503,4909.999901428819,4234.5580354286385,1309.9998468533158,676.9230749341659,516.3857843423555,377,136.18741841063482,0.2637319278339094,154.66505640041862,0.29951455111684133,225.53330953130205,0.43675352104924925,0.14222620517644313,0.18613453153602194,-0.04886474092108278,-0.2051288010856055
0.4575,45769,0,3718.518535606563,4969.999892637134,4325.637520251729,1251.4813570305705,676.9230749341659,512.3270738405325,364,135.19188925985586,0.2638780891402508,153.17009023393982,0.298969346058053,223.96509434673675,0.4371525648016961,0.1506096972151399,0.1876834365545014,-0.0518880334111424,-0.21074667731683083
0.46,46019,0,3777.777776122093,5029.9998838454485,4412.066472984068,1252.2221077233553,676.9230749341659,507.17646129943006,364,133.16073256141465,0.26255306135510564,151.944778381993,0.2995895708422613,222.0709503560224,0.43785736780263296,0.15524668249216708,0.1942729693561239,-0.05308897401501639,-0.2073634898530677
0.4625,46269,0,3896.2963735684752,5149.999866262078,4495.328056358461,1253.703492693603,676.9230749341659,507.8509056690077,364,133.56838425200976,0.26300708093856007,152.12970999054488,0.29955585053085554,222.15281142645307,0.4374370685305844,0.15818094763948132,0.19898306313483105,-0.054990388198079276,-0.20843283881175778
0.465,46519,0,3955.5556140840054,5209.999857470393,4576.398552753125,1254.4442433863878,676.9230749341659,506.0405768140574,364,133.0039567861227,0.26283259264206094,151.48724288772854,0.29935789703162863,221.54937714020608,0.4378095103263103,0.16159431397338628,0.19975137421667669,-0.05342724722693404,-0.20257735286044173
0.4675,46769,0,4074.0740951150656,5269.999848678708,4656.007474465142,1195.9257535636425,676.9230749341659,504.7032995477642,351,132.75637147445707,0.2630384457430979,150.81992726655562,0.2988288909577107,221.12700080675143,0.43813266329919126,0.1670529720165263,0.1933231086772577,-0.053472079241394854,-0.20314072082012194
